nct_id,nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at
NCT03555396,"ClinicalTrials.gov processed this data on August 01, 2018",2018-06-01,NA,NA,2018-06-12,2018-06-12,2018-06-13,Actual,NA,NA,NA,NA,NA,NA,2018-06-12,2018-06-13,Actual,July 2018,Anticipated,2018-07-31,June 2018,2018-06-30,June 2023,Anticipated,2023-06-30,June 2023,Anticipated,2023-06-30,NA,Interventional,NA,,A Couple-based Antiretroviral Therapy Adherence Intervention for People Who Inject Drugs,A Couple-based Antiretroviral Therapy Adherence Intervention for People Who Inject Drugs in Kazakhstan,Not yet recruiting,NA,N/A,132,Anticipated,Columbia University,,2,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,Yes,Unidentified data can be shared with other researchers in accordance with IRB regulations upon completion and analysis of the study.,2018-08-01T21:16:45Z,2018-08-01T21:16:45Z
NCT03529409,"ClinicalTrials.gov processed this data on August 01, 2018",2018-05-07,NA,NA,2018-05-17,2018-05-17,2018-05-18,Actual,NA,NA,NA,NA,NA,NA,2018-05-17,2018-05-18,Actual,July 2018,Anticipated,2018-07-31,May 2018,2018-05-31,January 2022,Anticipated,2022-01-31,January 2021,Anticipated,2021-01-31,NA,Interventional,NA,,Effectiveness & Implementation of a Behavioral Intervention for Adherence and Substance Use in HIV Care in South Africa,Hybrid Effectiveness-Implementation Trial for ART Adherence and Substance Use in HIV Care in South Africa,Not yet recruiting,NA,N/A,60,Anticipated,University of Maryland,,2,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,Yes,"After all primary analyses are complete, de-identified data will be available per request of outside individual.",2018-08-01T21:20:09Z,2018-08-01T21:20:09Z
NCT03516318,"ClinicalTrials.gov processed this data on August 01, 2018",2018-04-24,NA,NA,2018-05-10,2018-04-24,2018-05-04,Actual,NA,NA,NA,NA,NA,NA,2018-05-10,2018-05-16,Actual,"June 1, 2018",Anticipated,2018-06-01,May 2018,2018-05-31,"November 30, 2019",Anticipated,2019-11-30,"September 30, 2019",Anticipated,2019-09-30,NA,Interventional,Y-SMART,,Using Social Media to Improve ART Retention and Treatment Outcomes Among YLHIV in Nigeria,Using Social Media to Improve ART Retention and Treatment (SMART) Outcomes Among Youth Living With HIV (YLHIV) in Nigeria - The Youth SMART Study,Not yet recruiting,NA,N/A,500,Anticipated,FHI 360,,2,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,Yes,"De-identified, quantitative data on study participants will be uploaded to the USAID Development Data Library.",2018-08-01T21:21:47Z,2018-08-01T21:21:47Z
NCT03515772,"ClinicalTrials.gov processed this data on August 01, 2018",2018-04-23,NA,NA,2018-05-03,2018-04-23,2018-05-04,Actual,NA,NA,NA,NA,NA,NA,2018-05-03,2018-05-08,Actual,"April 23, 2018",Actual,2018-04-23,May 2018,2018-05-31,"October 31, 2019",Anticipated,2019-10-31,"July 31, 2019",Anticipated,2019-07-31,NA,Observational,NA,,Drug-drug Interactions Between Antiretroviral Drugs and Cardiovascular Drugs in Elderly Patients,Drug-drug Interactions Between Antiretroviral Drugs and Cardiovascular Drugs in Elderly Patients From the Swiss HIV Cohort Study,Recruiting,NA,NA,60,Anticipated,Centre Hospitalier Universitaire Vaudois,,NA,6,NA,FALSE,NA,NA,NA,FALSE,TRUE,FALSE,NA,NA,FALSE,Samples Without DNA,"
      Plasma samples
    ",Yes,The investigators will share anonymized IPD with colleagues interested upon motivated request,2018-08-01T21:21:51Z,2018-08-01T21:21:51Z
NCT03508310,"ClinicalTrials.gov processed this data on August 01, 2018",2018-04-16,NA,NA,2018-04-16,2018-04-16,2018-04-25,Actual,NA,NA,NA,NA,NA,NA,2018-04-16,2018-04-25,Actual,"June 1, 2016",Actual,2016-06-01,April 2018,2018-04-30,"May 17, 2017",Actual,2017-05-17,"March 30, 2017",Actual,2017-03-30,NA,Interventional,TCOM,,A Waiting Room-Delivered Video to Enhance Clinical Outcomes Among Persons Living With HIV,"A Waiting Room-Delivered Video to Enhance Antiretroviral Therapy Readiness, Adherence, and Retention in Care for Minority Persons Living With HIV Infection",Completed,NA,N/A,4003,Actual,Centers for Disease Control and Prevention,,2,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,Yes,"When appropriate, data sets will be made available to interested researchers following discussion with study team.",2018-08-01T21:22:49Z,2018-08-01T21:22:49Z
NCT03465852,"ClinicalTrials.gov processed this data on August 01, 2018",2018-03-08,NA,NA,2018-03-15,2018-03-08,2018-03-14,Actual,NA,NA,NA,NA,NA,NA,2018-03-15,2018-03-19,Actual,"December 15, 2018",Anticipated,2018-12-15,March 2018,2018-03-31,"July 15, 2020",Anticipated,2020-07-15,"July 15, 2020",Anticipated,2020-07-15,NA,Interventional,NA,,HIV Prevention Among Latina Transgender Women Who Have Sex With Men: Evaluation of a Locally Developed Intervention,HIV Prevention Among Latina Transgender Women Who Have Sex With Men: Evaluation of a Locally Developed Intervention,Not yet recruiting,NA,N/A,140,Anticipated,Centers for Disease Control and Prevention,,2,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,Yes,"A plan agreed to by the Principal Investigator and the Centers for Disease Control and Prevention (CDC) will make, after approval by the CDC, the following study data available to applicants who provide detailed information on their reasons for requesting the data and plans analysis and use of the data:
Quantitative data from structured surveys for baseline and 6-month follow-up assessments;
Qualitative data from in-depth interviews with selected study participants to elucidate factors that contribute to or impede participant reports of engaging in the expected intervention outcomes following completion of the intervention (consistent condom use and use of PrEP and medically-supervised hormone therapy):
medical record abstractions, and data from biological markers including PrEP and HIV test results. None of the data described here will contain personal identifying information from study participants.",2018-08-01T21:28:36Z,2018-08-01T21:28:36Z
NCT03446573,"ClinicalTrials.gov processed this data on August 01, 2018",2018-01-05,NA,NA,2018-07-12,2018-02-19,2018-02-27,Actual,NA,NA,NA,NA,NA,NA,2018-07-12,2018-07-16,Actual,"January 18, 2018",Actual,2018-01-18,July 2018,2018-07-31,"January 31, 2021",Anticipated,2021-01-31,"June 14, 2019",Anticipated,2019-06-14,NA,Interventional,NA,,Switch Study to Evaluate Dolutegravir Plus Lamivudine in Virologically Suppressed Human Immunodeficiency Virus Type 1 Positive Adults (TANGO),"A Phase III, Randomized, Multicenter, Parallel-group, Non-inferiority Study Evaluating the Efficacy, Safety, and Tolerability of Switching to Dolutegravir Plus Lamivudine in HIV-1 Infected Adults Who Are Virologically Suppressed","Active, not recruiting",NA,Phase 3,550,Anticipated,ViiV Healthcare,,2,NA,NA,FALSE,NA,NA,NA,TRUE,TRUE,FALSE,NA,NA,NA,NA,,Yes,IPD for this study will be made available via the Clinical Study Data Request Site,2018-08-01T21:31:12Z,2018-08-01T21:31:12Z
NCT03441984,"ClinicalTrials.gov processed this data on August 01, 2018",2018-02-15,NA,NA,2018-05-31,2018-02-15,2018-02-22,Actual,NA,NA,NA,NA,NA,NA,2018-05-31,2018-06-01,Actual,"February 26, 2018",Actual,2018-02-26,May 2018,2018-05-31,"April 28, 2018",Actual,2018-04-28,"April 28, 2018",Actual,2018-04-28,NA,Interventional,NA,,To Assess the Relative Bioavailability (BA) of TRIUMEQÂ® and Dolutegravir and Lamivudine (DTG/3TC) Pediatric Dispersible Tablet Formulations in Healthy Volunteers,"A 2-Part, Phase I, Single-Dose, 3-Period Crossover Relative Bioavailability Study of a Pediatric TRIUMEQ Dispersible Tablet and Pediatric Dolutegravir and Lamivudine (DTG/3TC) Fixed Dose Combination Dispersible Tablet Formulations as Compared With Adult Tablets in Healthy Volunteers",Completed,NA,Phase 1,95,Actual,ViiV Healthcare,,12,NA,NA,FALSE,NA,NA,NA,FALSE,TRUE,FALSE,NA,NA,NA,NA,,Yes,IPD for this study will be made available via the Clinical Study Data Request site.,2018-08-01T21:31:47Z,2018-08-01T21:31:47Z
NCT03435146,"ClinicalTrials.gov processed this data on August 01, 2018",2017-08-21,NA,NA,2018-02-14,2018-02-14,2018-02-15,Actual,NA,NA,NA,NA,NA,NA,2018-02-14,2018-02-15,Actual,"January 18, 2018",Actual,2018-01-18,February 2018,2018-02-28,"November 3, 2018",Anticipated,2018-11-03,"October 31, 2018",Anticipated,2018-10-31,NA,Interventional,IMPAACT4TB,,Safety Tolerability DDI Short Course Treatment of LTBI Infection With High-dose Rifapentine Isoniazid in HIV+ Patients,"Safety, Tolerability and Drug-drug Interactions of Short Course Treatment of Latent Tuberculosis Infection With High-dose Rifapentine and Isoniazid Among HIV-infected Patients Taking Dolutegravir-based Antiretroviral Treatment",Recruiting,NA,Phase 1/Phase 2,60,Anticipated,The Aurum Institute NPC,,1,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,,Yes,"To be shared amongst the collaborators on shared database when study starts and is complete.
Results will be disseminated via conferences and publication by scientific peer reviewed journal(s)",2018-08-01T21:32:41Z,2018-08-01T21:32:41Z
NCT03422172,"ClinicalTrials.gov processed this data on August 01, 2018",2018-01-30,NA,NA,2018-06-18,2018-01-30,2018-02-05,Actual,NA,NA,NA,NA,NA,NA,2018-06-18,2018-06-19,Actual,"April 10, 2018",Actual,2018-04-10,June 2018,2018-06-30,"March 7, 2020",Anticipated,2020-03-07,"March 7, 2020",Anticipated,2020-03-07,NA,Interventional,NA,,"A Safety, Tolerability, Acceptability, and Pharmacokinetic (PK) Study of Cabotegravir (CAB) in Healthy Human Immunodeficiency Virus (HIV)-Uninfected Chinese Men","An Open Label, Phase 1 Study to Evaluate the PK, Safety, Tolerability and Acceptability of Long Acting Injections of the HIV Integrase Inhibitor, Cabotegravir (CAB; GSK1265744) in HIV Uninfected Chinese Men",Recruiting,NA,Phase 1,48,Anticipated,ViiV Healthcare,,1,NA,NA,FALSE,NA,NA,NA,FALSE,TRUE,FALSE,NA,NA,TRUE,NA,,Yes,IPD for this study will be made available via the Clinical Study Data Request site.,2018-08-01T21:34:30Z,2018-08-01T21:34:30Z
NCT03404531,"ClinicalTrials.gov processed this data on August 01, 2018",2018-01-12,NA,NA,2018-01-31,2018-01-12,2018-01-19,Actual,NA,NA,NA,NA,NA,NA,2018-01-31,2018-02-02,Estimate,"November 10, 2017",Actual,2017-11-10,January 2018,2018-01-31,"April 30, 2020",Anticipated,2020-04-30,"April 30, 2019",Anticipated,2019-04-30,NA,Interventional,MAP,,Project Minority AIDS Prevention: Reaching Black and Hispanic MSM About PrEP and TasP Using Social Media,Reaching Black/African American and Hispanic/Latino MSM Through Social Media About Treatment as Prevention and Pre-Exposure Prophylaxis,Recruiting,NA,N/A,164,Anticipated,Brown University,,2,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,Yes,"Research data will be shared openly, proactively, and timely in accordance with the most recent NIH guidelines (http://grants.nih.gov/grants/policy/data_sharing/) while being mindful that the confidentiality and privacy of participants in research must be protected at all times. Specific plans to share data, including an overview of what will be shared, when it will be shared, how it will be shared, and who will have access to the data will be proposed in a data sharing agreement that all investigators and prospective users of the data will complete when requesting access to the data.",2018-08-01T21:37:12Z,2018-08-01T21:37:12Z
NCT03397420,"ClinicalTrials.gov processed this data on August 01, 2018",2018-01-02,NA,NA,2018-01-05,2018-01-05,2018-01-12,Actual,NA,NA,NA,NA,NA,NA,2018-01-05,2018-01-12,Actual,"September 13, 2017",Actual,2017-09-13,September 2017,2017-09-30,"June 30, 2019",Anticipated,2019-06-30,"June 30, 2018",Anticipated,2018-06-30,NA,Interventional,FAM-CARE,,"Family-centered HIV Care, Viral Suppression and Retention in HIV-positive Children, Swaziland",Effect of Family-centered Model of HIV Care (FAM-CARE) on Viral Suppression and Retention in Care of HIV-positive Children in Swaziland,Recruiting,NA,N/A,660,Anticipated,Elizabeth Glaser Pediatric AIDS Foundation,,2,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,Yes,All collected IPDs,2018-08-01T21:38:16Z,2018-08-01T21:38:16Z
NCT03394196,"ClinicalTrials.gov processed this data on August 01, 2018",2017-12-14,NA,NA,2018-07-24,2018-01-05,2018-01-09,Actual,NA,NA,NA,NA,NA,NA,2018-07-24,2018-07-26,Actual,"July 4, 2018",Actual,2018-07-04,July 2018,2018-07-31,July 2021,Anticipated,2021-07-31,January 2021,Anticipated,2021-01-31,NA,Interventional,RESIST-2,,RESIST-2: 2nd-line ART for HIV-2 Infection,Implementation and Evaluation of an HIV-2 Viral Load and ARV Resistance Informed Algorithm for 2nd-line ART in HIV-2 Infected Patients in the Initiative SÃ©nÃ©galaise d'AccÃ¨s Aux AntirÃ©troviraux (ISAARV) Program,Recruiting,NA,N/A,150,Anticipated,University of Washington,,3,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,,Yes,IPD shared on request with ORB approval on final cleaned dataset,2018-08-01T21:38:40Z,2018-08-01T21:38:40Z
NCT03384784,"ClinicalTrials.gov processed this data on August 01, 2018",2017-12-08,NA,NA,2018-07-26,2017-12-19,2017-12-27,Actual,NA,NA,NA,NA,NA,NA,2018-07-26,2018-07-27,Actual,"October 30, 2017",Actual,2017-10-30,July 2018,2018-07-31,May 2022,Anticipated,2022-05-31,January 2022,Anticipated,2022-01-31,NA,Interventional,CHI,,Effect of Galantamine on Inflammation and Cognition,Targeting the Cholinergic Pathway in HIV-associated Inflammation and Cognitive Dysfunction,Recruiting,NA,Phase 2,150,Anticipated,University of Pennsylvania,,2,NA,NA,FALSE,NA,NA,NA,NA,TRUE,FALSE,NA,NA,FALSE,NA,,Yes,"The final dataset will include demographic and behavioral assessments and laboratory data bio-specimens. Because the dataset will contain personal health information, identifying information will be collected. Even though the final dataset will be stripped of identifiers prior to release for sharing, investigators will do the following to reduce the possibility confidentiality loss. We will make the data and associated documentation available to users only under a data-sharing agreement that provides for: (1) a commitment to using data only for research purposes and not to identify any individual participant; (2) a commitment to securing the data using appropriate computer technology; and (3) a commitment to destroying or returning the data after analyses are completed.
Transcriptomic data will be deposited with a public access database such as NCBI's Gene Expression Omnibus (GEO) database (http://www.ncbi.nlm.nih.gov/geo/)",2018-08-01T21:40:08Z,2018-08-01T21:40:08Z
NCT03383211,"ClinicalTrials.gov processed this data on August 01, 2018",2017-12-19,NA,NA,2017-12-19,2017-12-19,2017-12-26,Actual,NA,NA,NA,NA,NA,NA,2017-12-19,2017-12-26,Actual,"June 16, 2017",Actual,2017-06-16,December 2017,2017-12-31,"June 30, 2022",Anticipated,2022-06-30,"September 1, 2018",Anticipated,2018-09-01,NA,Observational,IMMUNEO,,Immune Response to BCG Vaccination in Neonates Born to HIV and LTBI Infected and Non-infected Mothers,Transcriptomic Profile of the Immune Response to BCG Vaccination in Neonates Born to HIV and LTBI Infected and Non-infected Mothers,Recruiting,NA,NA,150,Anticipated,George Washington University,,NA,4,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,Samples With DNA,"
      RNA isolated from peripheral blood.
    ",Yes,Genomic data will be submitted to the NCBI SRA archive,2018-08-01T21:40:23Z,2018-08-01T21:40:23Z
NCT03368053,"ClinicalTrials.gov processed this data on August 01, 2018",2017-12-05,NA,NA,2018-05-04,2017-12-05,2017-12-11,Actual,NA,NA,NA,NA,NA,NA,2018-05-04,2018-05-07,Actual,"December 14, 2017",Actual,2017-12-14,May 2018,2018-05-31,"January 30, 2018",Actual,2018-01-30,"January 30, 2018",Actual,2018-01-30,NA,Interventional,NA,,Long-term Immunogenicity of the HIV gp120-NefTat/AS01B Vaccine (GSK SB732461),Long-term Immunogenicity of the HIV gp120-NefTat/AS01B Vaccine (GSK SB732461),Completed,NA,Phase 1,36,Actual,GlaxoSmithKline,,1,NA,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,,Yes,Patient-level data for this study will be made available through www.clinicalstudydatarequest.com following the timelines and process described on this site.,2018-08-01T21:43:00Z,2018-08-01T21:43:00Z
NCT03353701,"ClinicalTrials.gov processed this data on August 01, 2018",2017-11-03,NA,NA,2018-06-29,2017-11-20,2017-11-27,Actual,NA,NA,NA,NA,NA,NA,2018-06-29,2018-07-02,Actual,"December 11, 2017",Actual,2017-12-11,June 2018,2018-06-30,December 2020,Anticipated,2020-12-31,October 2019,Anticipated,2019-10-31,NA,Interventional,NA,,30-to-90 Day Challenge: Effects of Alcohol Cessation on Health Outcomes,"Effects of Experimentally-induced Reductions in Alcohol Consumption on Brain Cognitive and Clinical Outcomes, and Motivation for Changing Drinking in Older Persons With HIV Infection",Recruiting,NA,N/A,180,Anticipated,University of Florida,,1,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,Yes,Limited and de-identified datasets will be available to researchers after signing a data-use agreement with the University of Florida.,2018-08-01T21:44:51Z,2018-08-01T21:44:51Z
NCT03312244,"ClinicalTrials.gov processed this data on August 01, 2018",2017-04-01,NA,NA,2017-10-16,2017-10-16,2017-10-17,Actual,NA,NA,NA,NA,NA,NA,2017-10-16,2017-10-17,Actual,"October 1, 2017",Actual,2017-10-01,October 2017,2017-10-31,"June 30, 2020",Anticipated,2020-06-30,"June 30, 2019",Anticipated,2019-06-30,NA,Interventional,NA,,Pyridostigmine as Immunomodulator in People Living With HIV,Study of the Role of Peripheral Acetylcholinesterase Inhibitor Pyridostigmine as Immunomodulators in a Population of Patients Living With Human Immunodeficiency Virus Infection.,"Active, not recruiting",NA,Phase 2,60,Anticipated,Instituto Nacional de Ciencias Medicas y Nutricion Salvador Zubiran,,2,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,,Yes,All data will be freely available to all research parties involved,2018-08-01T21:50:45Z,2018-08-01T21:50:45Z
NCT03278886,"ClinicalTrials.gov processed this data on August 01, 2018",2017-09-05,NA,NA,2018-07-02,2017-09-08,2017-09-12,Actual,NA,NA,NA,NA,NA,NA,2018-07-02,2018-07-03,Actual,"July 3, 2018",Actual,2018-07-03,July 2018,2018-07-31,February 2019,Anticipated,2019-02-28,February 2019,Anticipated,2019-02-28,NA,Interventional,PETER PAIN,,St. PETERsburg Pain and Alcohol Intervention With Naltrexone and Nalmefene,Pilot Study of Opioid-receptor Antagonists to Reduce Pain and Inflammation Among HIV-Infected Persons With Alcohol Problems,Recruiting,NA,Phase 1/Phase 2,16,Anticipated,Boston Medical Center,,2,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,Yes,All data from the study will be placed into the URBAN ARCH repository.,2018-08-01T21:55:42Z,2018-08-01T21:55:42Z
NCT03275701,"ClinicalTrials.gov processed this data on August 01, 2018",2016-07-22,NA,NA,2017-09-05,2017-09-05,2017-09-07,Actual,NA,NA,NA,NA,NA,NA,2017-09-05,2017-09-07,Actual,July 2016,NA,2016-07-31,September 2017,2017-09-30,November 2019,Anticipated,2019-11-30,October 2019,Anticipated,2019-10-31,NA,Interventional,STRUCTR,,Evaluating BMD in Participants â‰¥50 Years Old Switching From EVG/COBI/FTC/TAF or EVG/COBI/FTC/TDF to ABC/DTG/3TC,"Phase IV, Single-Arm, Open-Label Study Evaluating Bone Mineral Density in HIV-1-Infected Adults â‰¥50 Years Old Switching From EVG/COBI/FTC/TAF (Genvoya) or EVG/COBI/FTC/TDF (Stribild) to ABC/DTG/3TC (Triumeq)",Recruiting,NA,N/A,50,Anticipated,Mills Clinical Research,,1,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,,Yes,NA,2018-08-01T21:56:11Z,2018-08-01T21:56:11Z
NCT03235349,"ClinicalTrials.gov processed this data on August 01, 2018",2017-07-28,NA,NA,2018-07-13,2017-07-28,2017-08-01,Actual,NA,NA,NA,NA,NA,NA,2018-07-13,2018-07-17,Actual,"September 29, 2017",Actual,2017-09-29,July 2018,2018-07-31,"March 8, 2019",Anticipated,2019-03-08,"December 5, 2018",Anticipated,2018-12-05,NA,Interventional,NA,,A Study to Evaluate the Efficacy and Safety of ABT-493/ABT-530 in Treatment- Naive and Treatment-Experienced Asian Adults With Chronic Hepatitis C Virus Genotype (GT) 1 to GT6 Infection With Compensated Cirrhosis and With or Without Human Immunodeficiency Virus Co-Infection,An Open-Label Study to Evaluate the Efficacy and Safety of ABT-493/ABT-530 in Treatment-NaÃ¯ve and Treatment-Experienced Asian Adults With Chronic Hepatitis C Virus Genotype (GT) 1 to GT6 Infection With Compensated Cirrhosis and With or Without Human Immunodeficiency Virus Co-Infection,"Active, not recruiting",NA,Phase 3,159,Actual,AbbVie,,1,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,,Yes,"AbbVie is committed to responsible data sharing regarding the clinical trials we sponsor. This includes access to anonymized, individual and trial-level data (analysis data sets), as well as other information (e.g., protocols and clinical study reports), as long as the trials are not part of an ongoing or planned regulatory submission. This includes requests for clinical trial data for unlicensed products and indications.",2018-08-01T22:02:22Z,2018-08-01T22:02:22Z
NCT03215901,"ClinicalTrials.gov processed this data on August 01, 2018",2017-07-06,NA,NA,2018-01-10,2017-07-06,2017-07-12,Actual,NA,NA,NA,NA,NA,NA,2018-01-10,2018-01-11,Actual,"September 6, 2017",Actual,2017-09-06,January 2018,2018-01-31,"December 14, 2017",Actual,2017-12-14,"December 14, 2017",Actual,2017-12-14,NA,Interventional,NA,,Life Plans Intervention Study,Life Plans of Young Adults in Rural KwaZulu-Natal: an Intervention Study,Completed,NA,N/A,430,Actual,Boston University,,3,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,Yes,De-identified data will be archived on the Africa Health Research Institute repository and will be available via a data request.,2018-08-01T22:05:25Z,2018-08-01T22:05:25Z
NCT03198325,"ClinicalTrials.gov processed this data on August 01, 2018",2017-06-21,NA,NA,2017-06-22,2017-06-22,2017-06-26,Actual,NA,NA,NA,NA,NA,NA,2017-06-22,2017-06-26,Actual,"July 27, 2016",Actual,2016-07-27,June 2017,2017-06-30,April 2018,Anticipated,2018-04-30,December 2017,Anticipated,2017-12-31,NA,Interventional,APACHE,,Monitored Antiretroviral Pause in Chronic HIV-Infected Subjects With Long-Lasting Suppressed Viremia,Monitored Antiretroviral Pause in Chronic HIV-Infected Subjects With Long-Lasting Suppressed Viremia (APACHE Study),Recruiting,NA,N/A,30,Anticipated,Ospedale San Raffaele,,1,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,Yes,Congress and scientific pubblications,2018-08-01T22:08:20Z,2018-08-01T22:08:20Z
NCT03149757,"ClinicalTrials.gov processed this data on August 01, 2018",2017-05-09,NA,NA,2018-07-11,2017-05-09,2017-05-11,Actual,NA,NA,NA,NA,NA,NA,2018-07-11,2018-07-13,Actual,"May 16, 2017",Actual,2017-05-16,July 2018,2018-07-31,April 2020,Anticipated,2020-04-30,April 2020,Anticipated,2020-04-30,NA,Interventional,NA,,Connecting Youth and Young Adults to Optimize ART Adherence: YouTHrive Efficacy Trial,Connecting Youth and Young Adults to Optimize ART Adherence: Testing the Efficacy of the Youth Thrive Intervention,Recruiting,NA,Phase 2,300,Anticipated,University of Minnesota - Clinical and Translational Science Institute,,2,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,Yes,"The investigators will assure the timely release and sharing of data two years after the publication of the main trial findings from the final dataset. Study variables will be available; however, the investigators will protect the rights and privacy of human subjects by redacting all identifiers from the data set. The de-identified data from this project will be available through individual requests directed to the Principal Investigator.",2018-08-01T22:16:16Z,2018-08-01T22:16:16Z
NCT03147859,"ClinicalTrials.gov processed this data on August 01, 2018",2017-04-03,NA,NA,2017-11-17,2017-05-08,2017-05-10,Actual,NA,NA,NA,NA,NA,NA,2017-11-17,2017-11-21,Actual,"November 1, 2017",Actual,2017-11-01,November 2017,2017-11-30,"December 31, 2018",Anticipated,2018-12-31,"December 31, 2018",Anticipated,2018-12-31,NA,Interventional,HAVARTI,,Vedolizumab Treatment in Antiretroviral Drug Treated Chronic HIV Infection,Vedolizumab Treatment in Antiretroviral Drug Treated Chronic HIV Infection,Recruiting,NA,Phase 2,12,Anticipated,Ottawa Hospital Research Institute,,1,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,Yes,"Study dataset, after study closure and publication, by request.",2018-08-01T22:16:32Z,2018-08-01T22:16:32Z
NCT03134924,"ClinicalTrials.gov processed this data on August 01, 2018",2017-04-21,NA,NA,2017-04-28,2017-04-28,2017-05-01,Actual,NA,NA,NA,NA,NA,NA,2017-04-28,2017-05-01,Actual,"May 3, 2013",Actual,2013-05-03,April 2017,2017-04-30,"February 5, 2014",Actual,2014-02-05,"February 5, 2014",Actual,2014-02-05,NA,Interventional,NA,,"Vaginal Practices in Human Immunodeficiency Virus (HIV) Positive Women in Zambia, a Bio-Behavioral Intervention ""WASH-2""","Vaginal Practices in Human Immunodeficiency Virus (HIV) Positive Women in Zambia, a Bio-Behavioral Intervention ""WASH-2""",Completed,NA,N/A,128,Actual,University of Miami,,2,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,Yes,Available from the PI upon request.,2018-08-01T22:18:33Z,2018-08-01T22:18:33Z
NCT03132415,"ClinicalTrials.gov processed this data on August 01, 2018",2017-04-24,NA,NA,2018-05-21,2017-04-24,2017-04-27,Actual,NA,NA,NA,NA,NA,NA,2018-05-21,2018-05-23,Actual,"November 1, 2017",Actual,2017-11-01,May 2018,2018-05-31,May 2020,Anticipated,2020-05-31,April 2020,Anticipated,2020-04-30,NA,Interventional,NA,,Get Connected Efficacy Trial,"Get Connected: Linking YMSM to Adequate Care Through a Multilevel, Tailored WebApp Intervention",Recruiting,NA,N/A,480,Anticipated,University of Pennsylvania,,2,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,Yes,"The investigators will assure the timely release and sharing of data two years after the publication of the main trial findings from the final dataset. Study variables will be available; however, the investigators will protect the rights and privacy of human subjects by redacting all identifiers from the dataset. The de-identified data from this project will be available through individual requests directed to the Principal Investigator.",2018-08-01T22:19:01Z,2018-08-01T22:19:01Z
