significance_rank,DE_id,DE_description,Data_type,Data_type_description,Group_id,Group_id_description,PV,PV_description,PV_count
,21625,Touchscreen cognitive duration,Integer,"whole numbers, for example the age of a participant on a particular date",152,Process durations,NA,NA,NA
,21631,Verbal interview duration,Integer,"whole numbers, for example the age of a participant on a particular date",152,Process durations,NA,NA,NA
,21632,Pilot Spirometry duration,Integer,"whole numbers, for example the age of a participant on a particular date",152,Process durations,NA,NA,NA
,21633,Measurement/Impedance duration (pilot),Integer,"whole numbers, for example the age of a participant on a particular date",152,Process durations,NA,NA,NA
,21634,Biometrics duration,Integer,"whole numbers, for example the age of a participant on a particular date",152,Process durations,NA,NA,NA
,21636,Eye measures duration,Integer,"whole numbers, for example the age of a participant on a particular date",152,Process durations,NA,NA,NA
,21638,ECG during exercise duration,Integer,"whole numbers, for example the age of a participant on a particular date",152,Process durations,NA,NA,NA
,21641,Urine collection duration,Integer,"whole numbers, for example the age of a participant on a particular date",152,Process durations,NA,NA,NA
,21642,Sample collection duration,Integer,"whole numbers, for example the age of a participant on a particular date",152,Process durations,NA,NA,NA
,21651,Conclusion duration,Integer,"whole numbers, for example the age of a participant on a particular date",152,Process durations,NA,NA,NA
,21661,Imaging screening duration,Integer,"whole numbers, for example the age of a participant on a particular date",152,Process durations,NA,NA,NA
,21662,Brain MRI duration,Integer,"whole numbers, for example the age of a participant on a particular date",152,Process durations,NA,NA,NA
,21663,Chest MRI duration,Integer,"whole numbers, for example the age of a participant on a particular date",152,Process durations,NA,NA,NA
,21664,DXA assessment duration,Integer,"whole numbers, for example the age of a participant on a particular date",152,Process durations,NA,NA,NA
,21665,Carotid ultrasound duration,Integer,"whole numbers, for example the age of a participant on a particular date",152,Process durations,NA,NA,NA
,21666,ECG at rest duration,Integer,"whole numbers, for example the age of a participant on a particular date",152,Process durations,NA,NA,NA
,21671,Cardiac monitor duration,Integer,"whole numbers, for example the age of a participant on a particular date",152,Process durations,NA,NA,NA
,21711,Reception authorisation,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",127,Process authorisation,NA,NA,NA
,21721,Consent authorisation,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",127,Process authorisation,NA,NA,NA
,21722,Touchscreen authorisation,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",127,Process authorisation,NA,NA,NA
,21723,Touchscreen cognitive authorisation (pilot),Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",127,Process authorisation,NA,NA,NA
,21725,Touchscreen cognitive authorisation,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",127,Process authorisation,NA,NA,NA
,21731,Verbal interview authorisation,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",127,Process authorisation,NA,NA,NA
,21732,Pilot Spirometry authorisation,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",127,Process authorisation,NA,NA,NA
,21733,Measurement/Impedance authorisation (pilot),Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",127,Process authorisation,NA,NA,NA
,21734,Biometrics authorisation,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",127,Process authorisation,NA,NA,NA
,21736,Eye measures authorisation,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",127,Process authorisation,NA,NA,NA
,21738,ECG during exercise authorisation,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",127,Process authorisation,NA,NA,NA
,21741,Urine collection authorisation,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",127,Process authorisation,NA,NA,NA
,21742,Sample collection authorisation,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",127,Process authorisation,NA,NA,NA
,21751,Conclusion authorisation,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",127,Process authorisation,NA,NA,NA
,21761,Imaging screening authorisation,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",127,Process authorisation,NA,NA,NA
,21762,Brain MRI authorisation,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",127,Process authorisation,NA,NA,NA
,21763,Chest MRI authorisation,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",127,Process authorisation,NA,NA,NA
,21764,DXA assessment authorisation,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",127,Process authorisation,NA,NA,NA
,21765,Carotid ultrasound authorisation,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",127,Process authorisation,NA,NA,NA
,21766,ECG at rest authorisation,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",127,Process authorisation,NA,NA,NA
,21771,Cardiac monitor authorisation,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",127,Process authorisation,NA,NA,NA
,21811,Reception sign-off timestamp,Time,"a time, for example 13:38:05 on 14th October 2010",129,Process completion times,NA,NA,NA
,21821,Consent sign-off timestamp,Time,"a time, for example 13:38:05 on 14th October 2010",129,Process completion times,NA,NA,NA
,21822,Touchscreen sign-off timestamp,Time,"a time, for example 13:38:05 on 14th October 2010",129,Process completion times,NA,NA,NA
,21823,Touchscreen cognitive sign-off timestamp (pilot),Time,"a time, for example 13:38:05 on 14th October 2010",129,Process completion times,NA,NA,NA
,21825,Touchscreen cognitive sign-off timestamp,Time,"a time, for example 13:38:05 on 14th October 2010",129,Process completion times,NA,NA,NA
,21831,Verbal nterview sign-off timestamp,Time,"a time, for example 13:38:05 on 14th October 2010",129,Process completion times,NA,NA,NA
,21832,Pilot Spirometry sign-off timestamp,Time,"a time, for example 13:38:05 on 14th October 2010",129,Process completion times,NA,NA,NA
,21833,Measurement/Impedance sign-off timestamp (pilot),Time,"a time, for example 13:38:05 on 14th October 2010",129,Process completion times,NA,NA,NA
,21834,Biometrics sign-off timestamp,Time,"a time, for example 13:38:05 on 14th October 2010",129,Process completion times,NA,NA,NA
,21836,Eye measures sign-off timestamp,Time,"a time, for example 13:38:05 on 14th October 2010",129,Process completion times,NA,NA,NA
,21838,ECG during exercise sign-off timestamp,Time,"a time, for example 13:38:05 on 14th October 2010",129,Process completion times,NA,NA,NA
,21841,Urine collection sign-off timestamp,Time,"a time, for example 13:38:05 on 14th October 2010",129,Process completion times,NA,NA,NA
,21842,Sample collection sign-off timestamp,Time,"a time, for example 13:38:05 on 14th October 2010",129,Process completion times,NA,NA,NA
,21851,Conclusion sign-off timestamp,Time,"a time, for example 13:38:05 on 14th October 2010",129,Process completion times,NA,NA,NA
,21861,Imaging screening sign-off timestamp,Time,"a time, for example 13:38:05 on 14th October 2010",129,Process completion times,NA,NA,NA
,21862,Brain MRI sign-off timestamp,Time,"a time, for example 13:38:05 on 14th October 2010",129,Process completion times,NA,NA,NA
,21863,Chest MRI sign-off timestamp,Time,"a time, for example 13:38:05 on 14th October 2010",129,Process completion times,NA,NA,NA
,21864,DXA assessment sign-off timestamp,Time,"a time, for example 13:38:05 on 14th October 2010",129,Process completion times,NA,NA,NA
,21865,Carotid ultrasound sign-off timestamp,Time,"a time, for example 13:38:05 on 14th October 2010",129,Process completion times,NA,NA,NA
,21866,ECG at rest sign-off timestamp,Time,"a time, for example 13:38:05 on 14th October 2010",129,Process completion times,NA,NA,NA
,21871,Cardiac monitor sign-off timestamp,Time,"a time, for example 13:38:05 on 14th October 2010",129,Process completion times,NA,NA,NA
,22000,Genotype measurement batch,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100313,Genotyping process and sample QC,NA,NA,NA
,22001,Genetic sex,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100313,Genotyping process and sample QC,0|1,Female|Male,2
,22002,CEL files,Text,"data composed of alphanumeric characters, for example the first line of an address",100313,Genotyping process and sample QC,NA,NA,NA
,22003,Heterozygosity,Continuous,"floating-point numbers, for example the height of a participant",100313,Genotyping process and sample QC,NA,NA,NA
,22004,"Heterozygosity, PCA corrected",Continuous,"floating-point numbers, for example the height of a participant",100313,Genotyping process and sample QC,NA,NA,NA
,22005,Missingness,Continuous,"floating-point numbers, for example the height of a participant",100313,Genotyping process and sample QC,NA,NA,NA
,22006,Genetic ethnic grouping,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100313,Genotyping process and sample QC,1,Caucasian,1
,22007,Genotype measurement plate,Text,"data composed of alphanumeric characters, for example the first line of an address",100313,Genotyping process and sample QC,NA,NA,NA
,22008,Genotype measurement well,Text,"data composed of alphanumeric characters, for example the first line of an address",100313,Genotyping process and sample QC,NA,NA,NA
,22009,Genetic principal components,Continuous,"floating-point numbers, for example the height of a participant",100313,Genotyping process and sample QC,NA,NA,NA
,22010,Recommended genomic analysis exclusions,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",199001,Interim genotype release,1,poor heterozygosity/missingness,1
,22011,Genetic relatedness pairing,Integer,"whole numbers, for example the age of a participant on a particular date",199001,Interim genotype release,NA,NA,NA
,22012,Genetic relatedness factor,Continuous,"floating-point numbers, for example the height of a participant",199001,Interim genotype release,NA,NA,NA
,22013,Genetic relatedness IBS0,Continuous,"floating-point numbers, for example the height of a participant",199001,Interim genotype release,NA,NA,NA
,22014,Average X chromosome intensities for determining sex,Continuous,"floating-point numbers, for example the height of a participant",100317,Genotyping intensities,NA,NA,NA
,22015,Average Y chromosome intensities for determining sex,Continuous,"floating-point numbers, for example the height of a participant",100317,Genotyping intensities,NA,NA,NA
,22016,"Invitation to complete online occupational questionnaire, date sent",Date,"a calendar date, for example 14th October 2010",123,Work environment,NA,NA,NA
,22017,"Invitation to complete online cognitive function questionnaire, date sent",Date,"a calendar date, for example 14th October 2010",116,Cognitive function online,NA,NA,NA
,22018,Genetic relatedness exclusions,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",199001,Interim genotype release,1|2,Participant self-declared as having a mixed ancestral background|High heterozygosity rate (after correcting for ancestry) or high missing rate,2
,22019,Sex chromosome aneuploidy,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100313,Genotyping process and sample QC,1,Yes,1
,22020,Used in genetic principal components,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100313,Genotyping process and sample QC,1,Yes,1
,22021,Genetic kinship to other participants,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100313,Genotyping process and sample QC,-1|0|1|10,Participant excluded from kinship inference process|No kinship found|At least one relative identified|Ten or more third-degree relatives identified,4
,22022,Sex inference X probe-intensity,Continuous,"floating-point numbers, for example the height of a participant",100313,Genotyping process and sample QC,NA,NA,NA
,22023,Sex inference Y probe-intensity,Continuous,"floating-point numbers, for example the height of a participant",100313,Genotyping process and sample QC,NA,NA,NA
,22024,DNA concentration,Continuous,"floating-point numbers, for example the height of a participant",100313,Genotyping process and sample QC,NA,NA,NA
,22025,"Affymetrix quality control metric ""Cluster.CR""",Continuous,"floating-point numbers, for example the height of a participant",100313,Genotyping process and sample QC,NA,NA,NA
,22026,"Affymetrix quality control metric ""dQC""",Continuous,"floating-point numbers, for example the height of a participant",100313,Genotyping process and sample QC,NA,NA,NA
,22027,Outliers for heterozygosity or missing rate,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100313,Genotyping process and sample QC,1,Yes,1
,22028,Use in phasing Chromosomes 1-22,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100313,Genotyping process and sample QC,0|1,No|Yes,2
,22029,Use in phasing Chromosome X,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100313,Genotyping process and sample QC,0|1,No|Yes,2
,22030,Use in phasing Chromosome XY,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100313,Genotyping process and sample QC,0|1,No|Yes,2
,22032,IPAQ activity group,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",54,MET Scores,0|1|2,low|moderate|high,3
,22033,Summed days activity,Integer,"whole numbers, for example the age of a participant on a particular date",54,MET Scores,NA,NA,NA
,22034,Summed minutes activity,Integer,"whole numbers, for example the age of a participant on a particular date",54,MET Scores,NA,NA,NA
,22035,Above moderate/vigorous recommendation,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",54,MET Scores,0|1,No|Yes,2
,22036,Above moderate/vigorous/walking recommendation,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",54,MET Scores,0|1,No|Yes,2
,22037,MET minutes per week for walking,Continuous,"floating-point numbers, for example the height of a participant",54,MET Scores,NA,NA,NA
,22038,MET minutes per week for moderate activity,Continuous,"floating-point numbers, for example the height of a participant",54,MET Scores,NA,NA,NA
,22039,MET minutes per week for vigorous activity,Continuous,"floating-point numbers, for example the height of a participant",54,MET Scores,NA,NA,NA
,22040,Summed MET minutes per week for all activity,Continuous,"floating-point numbers, for example the height of a participant",54,MET Scores,NA,NA,NA
,22050,UKBiLEVE Affymetrix quality control for samples,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",199001,Interim genotype release,0|1,Fail|Pass,2
,22051,UKBiLEVE genotype quality control for samples,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",199001,Interim genotype release,0|1,Fail|Pass,2
,22052,UKBiLEVE unrelatedness indicator,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",199001,Interim genotype release,-1|0|1,Not tested|Fail|Pass,3
,22100,Chromosome XY genotype results,Text,"data composed of alphanumeric characters, for example the first line of an address",100315,Genotype Results,NA,NA,NA
,22101,Chromosome 1 genotype results,Text,"data composed of alphanumeric characters, for example the first line of an address",100315,Genotype Results,NA,NA,NA
,22102,Chromosome 2 genotype results,Text,"data composed of alphanumeric characters, for example the first line of an address",100315,Genotype Results,NA,NA,NA
,22103,Chromosome 3 genotype results,Text,"data composed of alphanumeric characters, for example the first line of an address",100315,Genotype Results,NA,NA,NA
,22104,Chromosome 4 genotype results,Text,"data composed of alphanumeric characters, for example the first line of an address",100315,Genotype Results,NA,NA,NA
,22105,Chromosome 5 genotype results,Text,"data composed of alphanumeric characters, for example the first line of an address",100315,Genotype Results,NA,NA,NA
,22106,Chromosome 6 genotype results,Text,"data composed of alphanumeric characters, for example the first line of an address",100315,Genotype Results,NA,NA,NA
,22107,Chromosome 7 genotype results,Text,"data composed of alphanumeric characters, for example the first line of an address",100315,Genotype Results,NA,NA,NA
,22108,Chromosome 8 genotype results,Text,"data composed of alphanumeric characters, for example the first line of an address",100315,Genotype Results,NA,NA,NA
,22109,Chromosome 9 genotype results,Text,"data composed of alphanumeric characters, for example the first line of an address",100315,Genotype Results,NA,NA,NA
,22110,Chromosome 10 genotype results,Text,"data composed of alphanumeric characters, for example the first line of an address",100315,Genotype Results,NA,NA,NA
,22111,Chromosome 11 genotype results,Text,"data composed of alphanumeric characters, for example the first line of an address",100315,Genotype Results,NA,NA,NA
,22112,Chromosome 12 genotype results,Text,"data composed of alphanumeric characters, for example the first line of an address",100315,Genotype Results,NA,NA,NA
,22113,Chromosome 13 genotype results,Text,"data composed of alphanumeric characters, for example the first line of an address",100315,Genotype Results,NA,NA,NA
,22114,Chromosome 14 genotype results,Text,"data composed of alphanumeric characters, for example the first line of an address",100315,Genotype Results,NA,NA,NA
,22115,Chromosome 15 genotype results,Text,"data composed of alphanumeric characters, for example the first line of an address",100315,Genotype Results,NA,NA,NA
,22116,Chromosome 16 genotype results,Text,"data composed of alphanumeric characters, for example the first line of an address",100315,Genotype Results,NA,NA,NA
,22117,Chromosome 17 genotype results,Text,"data composed of alphanumeric characters, for example the first line of an address",100315,Genotype Results,NA,NA,NA
,22118,Chromosome 18 genotype results,Text,"data composed of alphanumeric characters, for example the first line of an address",100315,Genotype Results,NA,NA,NA
,22119,Chromosome 19 genotype results,Text,"data composed of alphanumeric characters, for example the first line of an address",100315,Genotype Results,NA,NA,NA
,22120,Chromosome 20 genotype results,Text,"data composed of alphanumeric characters, for example the first line of an address",100315,Genotype Results,NA,NA,NA
,22121,Chromosome 21 genotype results,Text,"data composed of alphanumeric characters, for example the first line of an address",100315,Genotype Results,NA,NA,NA
,22122,Chromosome 22 genotype results,Text,"data composed of alphanumeric characters, for example the first line of an address",100315,Genotype Results,NA,NA,NA
,22123,Chromosome X genotype results,Text,"data composed of alphanumeric characters, for example the first line of an address",100315,Genotype Results,NA,NA,NA
,22124,Chromosome Y genotype results,Text,"data composed of alphanumeric characters, for example the first line of an address",100315,Genotype Results,NA,NA,NA
,22125,Mitochondrial genotype results,Text,"data composed of alphanumeric characters, for example the first line of an address",100315,Genotype Results,NA,NA,NA
,22126,Doctor diagnosed hayfever or allergic rhinitis,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",132,Medical information,0|1,No|Yes,2
,22127,Doctor diagnosed asthma,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",132,Medical information,0|1,No|Yes,2
,22128,Doctor diagnosed emphysema,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",132,Medical information,0|1,No|Yes,2
,22129,Doctor diagnosed chronic bronchitis,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",132,Medical information,0|1,No|Yes,2
,22130,Doctor diagnosed COPD (chronic obstructive pulmonary disease),Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",132,Medical information,0|1,No|Yes,2
,22131,Doctor diagnosed cystic fibrosis,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",132,Medical information,0|1,No|Yes,2
,22132,Doctor diagnosed alpha-1 antitrypsin deficiency,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",132,Medical information,0|1,No|Yes,2
,22133,Doctor diagnosed sarcoidosis,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",132,Medical information,0|1,No|Yes,2
,22134,Doctor diagnosed bronchiectasis,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",132,Medical information,0|1,No|Yes,2
,22135,Doctor diagnosed idiopathic pulmonary fibrosis,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",132,Medical information,0|1,No|Yes,2
,22136,Doctor diagnosed fibrosing alveolitis/unspecified alveolitis,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",132,Medical information,0|1,No|Yes,2
,22137,Doctor diagnosed tuberculosis,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",132,Medical information,0|1,No|Yes,2
,22138,Doctor diagnosed silicosis,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",132,Medical information,0|1,No|Yes,2
,22139,Doctor diagnosed asbestosis,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",132,Medical information,0|1,No|Yes,2
,22140,Doctor diagnosed lung cancer (not mesothelioma),Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",132,Medical information,0|1,No|Yes,2
,22141,Doctor diagnosed mesothelioma of the lung,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",132,Medical information,0|1,No|Yes,2
,22146,Age hayfever or allergic rhinitis diagnosed by doctor,Integer,"whole numbers, for example the age of a participant on a particular date",132,Medical information,NA,NA,NA
,22147,Age asthma diagnosed by doctor,Integer,"whole numbers, for example the age of a participant on a particular date",132,Medical information,NA,NA,NA
,22148,Age emphysema diagnosed by doctor,Integer,"whole numbers, for example the age of a participant on a particular date",132,Medical information,NA,NA,NA
,22149,Age chronic bronchitis diagnosed by doctor,Integer,"whole numbers, for example the age of a participant on a particular date",132,Medical information,NA,NA,NA
,22150,Age COPD (Chronic Obstructive Pulmonary Disease) diagnosed by doctor,Integer,"whole numbers, for example the age of a participant on a particular date",132,Medical information,NA,NA,NA
,22151,Age cystic fibrosis diagnosed by doctor,Integer,"whole numbers, for example the age of a participant on a particular date",132,Medical information,NA,NA,NA
,22152,Age alpha-1 antitrypsin deficiency diagnosed by doctor,Integer,"whole numbers, for example the age of a participant on a particular date",132,Medical information,NA,NA,NA
,22153,Age sarcoidosis diagnosed by doctor,Integer,"whole numbers, for example the age of a participant on a particular date",132,Medical information,NA,NA,NA
,22154,Age bronchiectasis diagnosed by doctor,Integer,"whole numbers, for example the age of a participant on a particular date",132,Medical information,NA,NA,NA
,22155,Age idiopathic pulmonary fibrosis diagnosed by doctor,Integer,"whole numbers, for example the age of a participant on a particular date",132,Medical information,NA,NA,NA
,22156,Age fibrosing alveolitis/unspecified alveolitis diagnosed by doctor,Integer,"whole numbers, for example the age of a participant on a particular date",132,Medical information,NA,NA,NA
,22157,Age tuberculosis diagnosed by doctor,Integer,"whole numbers, for example the age of a participant on a particular date",132,Medical information,NA,NA,NA
,22158,Age silicosis diagnosed by doctor,Integer,"whole numbers, for example the age of a participant on a particular date",132,Medical information,NA,NA,NA
,22159,Age asbestosis diagnosed by doctor,Integer,"whole numbers, for example the age of a participant on a particular date",132,Medical information,NA,NA,NA
,22160,Age lung cancer (not mesothelioma) diagnosed by doctor,Integer,"whole numbers, for example the age of a participant on a particular date",132,Medical information,NA,NA,NA
,22161,Age mesothelioma of the lung diagnosed by doctor,Integer,"whole numbers, for example the age of a participant on a particular date",132,Medical information,NA,NA,NA
,22166,Recent medication for hayfever or allergic rhinitis,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",132,Medical information,0|1,No|Yes,2
,22167,Recent medication for asthma,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",132,Medical information,0|1,No|Yes,2
,22168,Recent medication for emphysema,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",132,Medical information,0|1,No|Yes,2
,22169,Recent medication for chronic bronchitis,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",132,Medical information,0|1,No|Yes,2
,22170,Recent medication for COPD (Chronic Obstructive Pulmonary Disease),Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",132,Medical information,0|1,No|Yes,2
,22171,Recent medication for cystic fibrosis,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",132,Medical information,0|1,No|Yes,2
,22172,Recent medication for alpha-1 antitrypsin deficiency,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",132,Medical information,0|1,No|Yes,2
,22173,Recent medication for sarcoidosis,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",132,Medical information,0|1,No|Yes,2
,22174,Recent medication for bronchiectasis,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",132,Medical information,0|1,No|Yes,2
,22175,Recent medication for idiopathic pulmonary fibrosis,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",132,Medical information,0|1,No|Yes,2
,22176,Recent medication for fibrosing alveolitis/unspecified alveolitis,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",132,Medical information,0|1,No|Yes,2
,22177,Recent medication for tuberculosis,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",132,Medical information,0|1,No|Yes,2
,22178,Recent medication for silicosis,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",132,Medical information,0|1,No|Yes,2
,22179,Recent medication for asbestosis,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",132,Medical information,0|1,No|Yes,2
,22180,Recent medication for lung cancer (not mesothelioma),Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",132,Medical information,0|1,No|Yes,2
,22181,Recent medication for mesothelioma of the lung,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",132,Medical information,0|1,No|Yes,2
,22182,HLA imputation values,Compound,"a set of values required as a whole to describe some compound property, for example an ECG trace",100035,HLA,NA,NA,NA
,22200,Year of birth,Integer,"whole numbers, for example the age of a participant on a particular date",130,Employment history,NA,NA,NA
,22201,Chromosome 1 genotype probabilities,Text,"data composed of alphanumeric characters, for example the first line of an address",100316,Genotype confidences,NA,NA,NA
,22202,Chromosome 2 genotype probabilities,Text,"data composed of alphanumeric characters, for example the first line of an address",100316,Genotype confidences,NA,NA,NA
,22203,Chromosome 3 genotype probabilities,Text,"data composed of alphanumeric characters, for example the first line of an address",100316,Genotype confidences,NA,NA,NA
,22204,Chromosome 4 genotype probabilities,Text,"data composed of alphanumeric characters, for example the first line of an address",100316,Genotype confidences,NA,NA,NA
,22205,Chromosome 5 genotype probabilities,Text,"data composed of alphanumeric characters, for example the first line of an address",100316,Genotype confidences,NA,NA,NA
,22206,Chromosome 6 genotype probabilities,Text,"data composed of alphanumeric characters, for example the first line of an address",100316,Genotype confidences,NA,NA,NA
,22207,Chromosome 7 genotype probabilities,Text,"data composed of alphanumeric characters, for example the first line of an address",100316,Genotype confidences,NA,NA,NA
,22208,Chromosome 8 genotype probabilities,Text,"data composed of alphanumeric characters, for example the first line of an address",100316,Genotype confidences,NA,NA,NA
,22209,Chromosome 9 genotype probabilities,Text,"data composed of alphanumeric characters, for example the first line of an address",100316,Genotype confidences,NA,NA,NA
,22210,Chromosome 10 genotype probabilities,Text,"data composed of alphanumeric characters, for example the first line of an address",100316,Genotype confidences,NA,NA,NA
,22211,Chromosome 11 genotype probabilities,Text,"data composed of alphanumeric characters, for example the first line of an address",100316,Genotype confidences,NA,NA,NA
,22212,Chromosome 12 genotype probabilities,Text,"data composed of alphanumeric characters, for example the first line of an address",100316,Genotype confidences,NA,NA,NA
,22213,Chromosome 13 genotype probabilities,Text,"data composed of alphanumeric characters, for example the first line of an address",100316,Genotype confidences,NA,NA,NA
,22214,Chromosome 14 genotype probabilities,Text,"data composed of alphanumeric characters, for example the first line of an address",100316,Genotype confidences,NA,NA,NA
,22215,Chromosome 15 genotype probabilities,Text,"data composed of alphanumeric characters, for example the first line of an address",100316,Genotype confidences,NA,NA,NA
,22216,Chromosome 16 genotype probabilities,Text,"data composed of alphanumeric characters, for example the first line of an address",100316,Genotype confidences,NA,NA,NA
,22217,Chromosome 17 genotype probabilities,Text,"data composed of alphanumeric characters, for example the first line of an address",100316,Genotype confidences,NA,NA,NA
,22218,Chromosome 18 genotype probabilities,Text,"data composed of alphanumeric characters, for example the first line of an address",100316,Genotype confidences,NA,NA,NA
,22219,Chromosome 19 genotype probabilities,Text,"data composed of alphanumeric characters, for example the first line of an address",100316,Genotype confidences,NA,NA,NA
,22220,Chromosome 20 genotype probabilities,Text,"data composed of alphanumeric characters, for example the first line of an address",100316,Genotype confidences,NA,NA,NA
,22221,Chromosome 21 genotype probabilities,Text,"data composed of alphanumeric characters, for example the first line of an address",100316,Genotype confidences,NA,NA,NA
,22222,Chromosome 22 genotype probabilities,Text,"data composed of alphanumeric characters, for example the first line of an address",100316,Genotype confidences,NA,NA,NA
