concept_name|R1H_Days_of_Supply_95%|R1L_days of supply too lowDays_of_Supply_05%|R2H_Refils_95%|R3H_Quanitiy_of_Service_95%|R3L_Quanitiy_of_Service_05%|clinical drug concept_id|concept_code|R1H_Jitter|R1L_Jiter|R2H_Jitter|R3H_Jitter|R3L_Jitter
2 ML penicillin G procaine 600000 UNT/ML Prefilled Syringe|21|21|0|6|6|1728860|745462|26|16|5|6.6|5.4
Succimer 100 MG Oral Capsule|84|1|5.5|180|6|1728910|198227|89|-4|10.5|198|5.4
Azithromycin 40 MG/ML Oral Suspension|30|3|4|150|22.5|1734108|141963|35|-2|9|165|20.25
Azithromycin 500 MG Oral Tablet|30|1|2|21|2|1734134|248656|35|-4|7|23.1|1.8
Azithromycin 33.3 MG/ML Extended Release Suspension|14|1|1|1|1|1734168|577378|19|-4|6|1.1|0.9
rifaximin 200 MG Oral Tablet|31|3|8|180|9|1735948|429662|36|-2|13|198|8.1
linezolid 20 MG/ML Oral Suspension|30|2|1|900|150|1736890|311345|35|-3|6|990|135
linezolid 600 MG Oral Tablet|30|3|1|60|6|1736892|311347|35|-2|6|66|5.4
fosamprenavir 50 MG/ML Oral Suspension|33|5|12|900|225|1736924|597267|38|0|17|990|202.5
abacavir 300 MG Oral Tablet|90|28|6|180|42|1736994|242679|95|23|11|198|37.8
tipranavir 250 MG Oral Capsule|30|30|8|120|120|1737001|577212|35|25|13|132|108
efavirenz 600 MG Oral Tablet|30|17|7|30|17|1738165|349477|35|12|12|33|15.3
cefprozil 250 MG Oral Tablet|14|5|0|40|10|1738367|197452|19|0|5|44|9
cefprozil 500 MG Oral Tablet|14|7|0|28|10|1738368|197453|19|2|5|30.8|9
doxycycline hyclate 20 MG Oral Tablet|90|28|6|180|30|1738579|283535|95|23|11|198|27
terbinafine 250 MG Oral Tablet|90|10|2|90|10|1741402|313222|95|5|7|99|9
Levofloxacin 250 MG Oral Tablet|14|1|0|15|2|1742254|199884|19|-4|5|16.5|1.8
Levofloxacin 500 MG Oral Tablet|14|4|0|14|3|1742255|199885|19|-1|5|15.4|2.7
Levofloxacin 750 MG Oral Tablet|14|3|0|14|3|1742284|311296|19|-2|5|15.4|2.7
Levofloxacin 25 MG/ML Oral Solution|14|3|0|300|50|1742291|477391|19|-2|5|330|45
tigecycline 50 MG Injection|10|1|12|1200|2|1742434|581531|15|-4|17|1320|1.8
5 ML Cidofovir 75 MG/ML Injection|30|1|6|75|5|1745073|199388|35|-4|11|82.5|4.5
Piperacillin 200 MG/ML / tazobactam 25 MG/ML Injectable Solution|8|2|6|1680|1|1746143|312447|13|-3|11|1848|0.9
erythromycin stearate 250 MG Oral Tablet|60|1|7|120|6|1747396|686355|65|-4|12|132|5.4
Erythromycin Ethylsuccinate 80 MG/ML Oral Suspension|31|5|24|500|100|1747426|686418|36|0|29|550|90
Erythromycin 20 MG/ML Medicated Pad|90|30|5|180|60|1747459|797452|95|25|10|198|54
Ritonavir 80 MG/ML Oral Solution|90|21|5|240|36|1748954|199249|95|16|10|264|32.4
lopinavir 80 MG/ML / Ritonavir 20 MG/ML Oral Solution|32|16|10|320|160|1748956|311369|37|11|15|352|144
lopinavir 100 MG / Ritonavir 25 MG Oral Tablet|30|14|11|300|28|1748985|746645|35|9|16|330|25.2
Ethionamide 250 MG Oral Tablet|33|9|7|144|18|1750075|197681|38|4|12|158.4|16.2
Povidone-Iodine 75 MG/ML Medicated Liquid Soap|20|10|3|118|118|1750235|211747|25|5|8|129.8|106.2
Povidone-Iodine 3 MG/ML Douche|30|2|5|931|135|1750294|312556|35|-3|10|1024.1|121.5
Povidone-Iodine 0.1 MG/MG Topical Ointment|30|1|2|56.7|28.35|1750296|312563|35|-4|7|62.37|25.515
Povidone-Iodine 100 MG/ML Topical Solution|30|3|7|473|118|1750297|312564|35|-2|12|520.3|106.2
Clarithromycin 250 MG Oral Tablet|30|5|2|60|10|1750501|197516|35|0|7|66|9
Clarithromycin 500 MG Oral Tablet|30|7|1|56|14|1750562|197517|35|2|6|61.6|12.6
24 HR Clarithromycin 500 MG Extended Release Oral Tablet|30|7|1|58.5|14|1750728|359385|35|2|6|64.35|12.6
Albendazole 200 MG Oral Tablet|28|1|1|56|2|1753747|199672|33|-4|6|61.6|1.8
Fluconazole 100 MG Oral Tablet|30|2|2|30|2|1754995|197698|35|-3|7|33|1.8
Fluconazole 150 MG Oral Tablet|28|1|2|7|1|1754996|197699|33|-4|7|7.7|0.9
darunavir 75 MG Oral Tablet|30|30|6|480|300|1756872|831868|35|25|11|528|270
telbivudine 600 MG Oral Tablet|30|16|9|30|8|1758394|665122|35|11|14|33|7.2
etravirine 100 MG Oral Tablet|30|28|8|120|60|1758538|754761|35|23|13|132|54
Pyrazinamide 500 MG Oral Tablet|60|7|3|120|15|1759456|198181|65|2|8|132|13.5
Amoxicillin 400 MG / Clavulanate 57 MG Chewable Tablet|30|4|1|60|8|1759877|617316|35|-1|6|66|7.2
Amoxicillin 50 MG/ML / Clavulanate 12.5 MG/ML Oral Suspension|14|4|0|300|100|1759879|617322|19|-1|5|330|90
Pyrimethamine 25 MG Oral Tablet|30|23|7|90|8|1760041|198182|35|18|12|99|7.2
Amoxicillin 120 MG/ML / Clavulanate 8.58 MG/ML Oral Suspension|14|5|0|250|75|1760056|617993|19|0|5|275|67.5
Ribavirin 40 MG/ML Oral Solution|28|28|2|700|210|1762734|248112|33|23|7|770|189
Ribavirin 200 MG Oral Capsule|30|7|4|168|28|1762735|312817|35|2|9|184.8|25.2
Ribavirin 400 MG Oral Tablet|28|28|3|56|28|1762775|597718|33|23|8|61.6|25.2
Ribavirin 600 MG Oral Tablet|28|8|2|60|16|1762777|597722|33|3|7|66|14.4
isoniazid 50 MG / Pyrazinamide 300 MG / Rifampin 120 MG Oral Tablet|90|7|3|360|21|1763209|198384|95|2|8|396|18.9
Rifampin 600 MG Injection|8|1|18|500|1|1763294|312821|13|-4|23|550|0.9
Griseofulvin 25 MG/ML Oral Suspension|42|5|3|900|100|1763845|239238|47|0|8|990|90
Griseofulvin 250 MG Oral Tablet|60|10|3|90|14|1763846|239239|65|5|8|99|12.6
Griseofulvin 125 MG Oral Tablet|42|7|2|126|10|1763848|242831|47|2|7|138.6|9
Cefaclor 500 MG Oral Capsule|21|5|1|42|10|1768850|197449|26|0|6|46.2|9
Cefaclor 50 MG/ML Oral Suspension|30|5|8|300|150|1768880|313888|35|0|13|330|135
Nevirapine 200 MG Oral Tablet|90|30|7|180|56|1769390|199422|95|25|12|198|50.4
Nevirapine 10 MG/ML Oral Suspension|30|6|5|1200|240|1769413|311943|35|1|10|1320|216
Sodium Hypochlorite 1.25 MG/ML Topical Solution|30|5|13|1892|473|1769810|644133|35|0|18|2081.2|425.7
Sodium Hypochlorite 0.00057 MG/MG Topical Gel|50|50|1|86|86|1769863|797616|55|45|6|94.6|77.4
Hydrogen Peroxide 30 MG/ML Topical Solution|30|2|3|480|240|1776544|91349|35|-3|8|528|216
Cefuroxime 50 MG/ML Oral Suspension|10|4|1|200|50|1778225|313926|15|-1|6|220|45
Stavudine 1 MG/ML Oral Solution|30|30|1|1800|1800|1781436|315217|35|25|6|1980|1620
isoniazid 300 MG Oral Tablet|90|20|7|90|14|1782543|197832|95|15|12|99|12.6
isoniazid 100 MG Oral Tablet|90|15|6|180|28|1782573|311166|95|10|11|198|25.2
deferasirox 125 MG Tablet for Oral Suspension|30|30|6|300|30|1786057|597768|35|25|11|330|27
deferasirox 500 MG Tablet for Oral Suspension|30|30|7|150|30|1786061|597772|35|25|12|165|27
Cephalexin 500 MG Oral Tablet|30|3|1|60|10|1786652|197454|35|-2|6|66|9
Cephalexin 750 MG Oral Capsule|30|4|1|56|8|1786745|637173|35|-1|6|61.6|7.2
Cephalexin 333 MG Oral Capsule|14|7|2|30|21|1786748|645617|19|2|7|33|18.9
maraviroc 150 MG Oral Tablet|30|28|7|60|56|1787123|728223|35|23|12|66|50.4
maraviroc 300 MG Oral Tablet|30|28|7|120|30|1787125|728225|35|23|12|132|27
Lincomycin 300 MG/ML Injectable Solution|30|1|1|20|2|1790697|239212|35|-4|6|22|1.8
chlorhexidine gluconate 40 MG/ML Medicated Liquid Soap|30|1|11|946|118|1790815|211365|35|-4|16|1040.6|106.2
chlorhexidine gluconate 1.2 MG/ML Mouthwash|31|10|4|946|473|1790982|834127|36|5|9|1040.6|425.7
chlorhexidine gluconate 20 MG/ML Topical Solution|20|6|1|118|118|1791016|834152|25|1|6|129.8|106.2
Cefixime 400 MG Oral Tablet|20|1|0|20|1|1796438|197451|25|-4|5|22|0.9
Cefixime 40 MG/ML Oral Suspension|15|4|3|150|50|1796454|419849|20|-1|8|165|45
cefdinir 50 MG/ML Oral Suspension|14|5|0|200|60|1796475|476576|19|0|5|220|54
peginterferon alfa-2b 0.05 MG Injection|84|7|5|12|2|1797156|284192|89|2|10|13.2|1.8
Ciprofloxacin 250 MG Oral Tablet|20|2|0|30|4|1797515|197511|25|-3|5|33|3.6
Ciprofloxacin 750 MG Oral Tablet|30|2|1|60|3|1797516|197512|35|-3|6|66|2.7
24 HR Ciprofloxacin 500 MG Extended Release Oral Tablet|24|3|1|30|3|1797576|359383|29|-2|6|33|2.7
Ciprofloxacin 2 MG/ML Otic Solution|30|5|1|14|14|1797594|848956|35|0|6|15.4|12.6
Oseltamivir 75 MG Oral Capsule|14|4|0|14|6|1799141|312122|19|-1|5|15.4|5.4
Oseltamivir 45 MG Oral Capsule|10|3|0|13|4|1799160|728113|15|-2|5|14.3|3.6
Streptomycin 1000 MG Injection|30|3|3|750|1|1836193|313115|35|-2|8|825|0.9
Sulfadiazine 500 MG Oral Tablet|90|10|8|360|28|1836392|198228|95|5|13|396|25.2
Sulfamethoxazole 400 MG / Trimethoprim 80 MG Oral Tablet|90|5|7|90|7|1836433|198334|95|0|12|99|6.3
Sulfamethoxazole 800 MG / Trimethoprim 160 MG Oral Tablet|30|3|2|40|6|1836434|198335|35|-2|7|44|5.4
Sulfamethoxazole 40 MG/ML / Trimethoprim 8 MG/ML Oral Suspension|30|4|4|600|80|1836449|313134|35|-1|9|660|72
Sulfamethoxazole 80 MG/ML / Trimethoprim 16 MG/ML Injectable Solution|9|1|16|1500|6|1836452|313137|14|-4|21|1650|5.4
tetracycline hydrochloride 500 MG Oral Capsule|30|5|2|240|12|1836953|198252|35|0|7|264|10.8
Mefloquine Hydrochloride 250 MG Oral Tablet|90|21|1|15|4|19000500|835913|95|16|6|16.5|3.6
Hydrocortisone 0.025 MG/MG Topical Ointment|30|7|2|113.4|20|19002273|103401|35|2|7|124.74|18
Hydrocortisone 10 MG/ML Topical Lotion|30|5|13|120|114|19002274|103403|35|0|18|132|102.6
Fluocinonide 0.5 MG/ML Topical Cream|30|7|3|120|15|19002364|103456|35|2|8|132|13.5
Fluocinonide 0.0005 MG/MG Topical Ointment|30|7|3|120|15|19002365|103457|35|2|8|132|13.5
Halcinonide 1 MG/ML Topical Cream|30|7|3|240|30|19002395|103467|35|2|8|264|27
Tolnaftate 10 MG/ML Topical Cream|30|5|5|60|15|19003087|103951|35|0|10|66|13.5
lamotrigine 100 MG Disintegrating Oral Tablet|90|15|7|180|30|19003128|103968|95|10|12|198|27
Glycerin 2000 MG Rectal Suppository|48|10|9|50|10|19003455|104155|53|5|14|55|9
2 ML Digoxin 0.25 MG/ML Injection|30|1|46|50|2|19003514|104208|35|-4|51|55|1.8
Spironolactone 5 MG/ML Oral Suspension|94|30|0|118|75|19003575|104232|99|25|5|129.8|67.5
mycophenolate mofetil 500 MG Injection|30|30|10|1|1|19004034|311881|35|25|15|1.1|0.9
Isocarboxazid 10 MG Oral Tablet|90|15|6|450|30|19004819|104837|95|10|11|495|27
Trientine hydrochloride 250 MG Oral Capsule|30|6|11|180|28|19004991|313472|35|1|16|198|25.2
20 ML ziconotide acetate 0.025 MG/ML Injection|30|30|4|20|20|19005065|486133|35|25|9|22|18
Metoclopramide 1 MG/ML Oral Solution|32|7|10|1200|120|19005929|104884|37|2|15|1320|108
Ondansetron 4 MG Disintegrating Oral Tablet|30|3|2|90|8|19005965|104894|35|-2|7|99|7.2
Arginine 500 MG Oral Tablet|30|30|4|30|30|19006441|199292|35|25|9|33|27
Cefadroxil 100 MG/ML Oral Suspension|15|5|3|200|75|19006469|105171|20|0|8|220|67.5
Arginine 1000 MG Oral Tablet|34|28|10|100|28|19006474|636337|39|23|15|110|25.2
rufinamide 200 MG Oral Tablet|31|14|9|360|28|19006588|824295|36|9|14|396|25.2
isoniazid 10 MG/ML Oral Solution|30|6|5|1125|144|19006730|105292|35|1|10|1237.5|129.6
Bifidobacterium bifidum|31|8|13|84|14|19006764|285148|36|3|18|92.4|12.6
Mebendazole 100 MG Chewable Tablet|21|1|1|10|1|19006902|105347|26|-4|6|11|0.9
Fluorouracil 50 MG/ML Topical Cream|30|10|1|40|40|19007300|105583|35|5|6|44|36
Methotrexate 2.5 MG Oral Tablet|90|27|5|96|12|19007332|105585|95|22|10|105.6|10.8
Methotrexate 10 MG Oral Tablet|90|14|7|24|2|19007333|105586|95|9|12|26.4|1.8
Vinblastine Sulfate 1 MG/ML Injectable Solution|30|21|4|40|20|19008265|239178|35|16|9|44|18
Urea 100 MG/ML Topical Cream|30|7|13|170|71|19008455|106199|35|2|18|187|63.9
crotamiton 100 MG/ML Topical Lotion|30|2|3|454|60|19008459|106219|35|-3|8|499.4|54
Vitamin A 10000 UNT Oral Capsule|90|11|12|90|14|19008523|313638|95|6|17|99|12.6
Vitamin A 8000 UNT Oral Capsule|90|28|7|90|28|19008563|313652|95|23|12|99|25.2
Hydrocortisone 10 MG/ML Topical Cream|30|4|3|85.05|28.35|19008572|106258|35|-1|8|93.555|25.515
Tretinoin 0.25 MG/ML Topical Cream|45|7|3|45|20|19008619|106302|50|2|8|49.5|18
Tretinoin 0.5 MG/ML Topical Cream|45|7|3|45|20|19008620|106303|50|2|8|49.5|18
Benzoyl Peroxide 100 MG/ML Topical Lotion|30|30|0|30|30|19008694|106310|35|25|5|33|27
Ketoconazole 20 MG/ML Medicated Shampoo|42|10|4|240|120|19008700|106336|47|5|9|264|108
Mupirocin 0.02 MG/MG Topical Ointment|30|5|2|44|22|19008723|106346|35|0|7|48.4|19.8
silver sulfadiazine 10 MG/ML Topical Cream|30|5|3|400|25|19008724|106351|35|0|8|440|22.5
sulconazole 10 MG/ML Topical Cream|60|10|3|120|60|19008729|106366|65|5|8|132|54
Permethrin 50 MG/ML Topical Cream|30|1|1|120|60|19008783|106387|35|-4|6|132|54
Calcium Carbonate 500 MG / Vitamin D 200 UNT Oral Tablet|30|28|11|60|56|19009407|198542|35|23|16|66|50.4
Rabbit anti-human T-lymphocyte globulin 25 MG Injection|3|3|0|12|12|19009551|107047|8|-2|5|13.2|10.8
Vitamin E 100 UNT Oral Tablet|30|30|5|30|30|19009563|199359|35|25|10|33|27
Vitamin E 400 UNT Oral Capsule|90|7|13|90|7|19009594|237735|95|2|18|99|6.3
Vitamin E 200 UNT Oral Capsule|60|16|7|180|15|19009836|313713|65|11|12|198|13.5
Vitamin E D-Alpha 100 UNT Oral Capsule|28|3|11|84|7|19010040|562834|33|-2|16|92.4|6.3
docosahexaenoic acid 144 MG / Eicosapentaenoic Acid 216 MG / Vitamin E 2 UNT Oral Capsule|90|14|13|120|18|19010127|831574|95|9|18|132|16.2
Vitamin K 0.1 MG Oral Tablet|30|14|18|30|14|19010129|198899|35|9|23|33|12.6
Water|30|6|3|240|90|19010309|11295|35|1|8|264|81
Cyclosporine 25 MG Oral Capsule|90|14|8|480|30|19010484|197553|95|9|13|528|27
cyclosporine, modified 100 MG Oral Capsule|90|16|7|180|30|19010522|241834|95|11|12|198|27
Cyclosporine 0.5 MG/ML Ophthalmic Suspension|90|15|6|180|5.5|19010551|351291|95|10|11|198|4.95
cyclosporine, modified 100 MG/ML Oral Solution|83|10|6|200|50|19010556|835886|88|5|11|220|45
cyclosporine, modified 25 MG Oral Capsule|90|28|9|540|60|19010559|835894|95|23|14|594|54
cyclosporine, modified 50 MG Oral Capsule|90|25|5|210|30|19010590|835925|95|20|10|231|27
Desoximetasone 0.0005 MG/MG Topical Ointment|30|10|3|100|60|19011484|141850|35|5|8|110|54
Lindane 10 MG/ML Topical Lotion|30|1|1|120|60|19011487|141860|35|-4|6|132|54
hypromellose 5 MG/ML Ophthalmic Solution|30|10|5|15|15|19011640|142002|35|5|10|16.5|13.5
Polyvinyl Alcohol 0.014 ML/ML Ophthalmic Solution|60|14|13|15|15|19011661|142004|65|9|18|16.5|13.5
Benzoyl Peroxide 100 MG/ML Medicated Liquid Soap|30|5|10|237|148|19011735|142034|35|0|15|260.7|133.2
Ascorbic Acid 100 MG Oral Tablet|30|14|10|30|14|19011779|198893|35|9|15|33|12.6
Metronidazole 0.0075 MG/MG Vaginal Gel|30|5|1|70|70|19011786|142046|35|0|6|77|63
Ascorbic Acid 500 MG Oral Capsule|30|14|13|84|14|19011852|198896|35|9|18|92.4|12.6
Ascorbic Acid 1000 MG Oral Tablet|34|7|13|90|7|19011853|198897|39|2|18|99|6.3
Ascorbic Acid 60 MG Oral Lozenge|8|5|6|30|30|19011944|237717|13|0|11|33|27
eltrombopag 25 MG Oral Tablet|30|28|7|90|15|19012348|825421|35|23|12|99|13.5
eltrombopag 50 MG Oral Tablet|30|28|6|90|15|19012350|825427|35|23|11|99|13.5
Thiamine 50 MG Oral Tablet|60|7|13|150|13|19012617|150921|65|2|18|165|11.7
Water 1000 MG/ML Irrigation Solution|30|2|11|12000|15|19012705|150985|35|-3|16|13200|13.5
mometasone furoate 0.001 MG/MG Topical Ointment|30|7|3|90|15|19012749|151029|35|2|8|99|13.5
mometasone furoate 1 MG/ML Topical Lotion|38|10|3|90|30|19012750|151030|43|5|8|99|27
silodosin 4 MG Oral Capsule|90|14|8|90|14|19012929|826612|95|9|13|99|12.6
Azathioprine 50 MG Oral Tablet|90|30|6|270|30|19014880|197388|95|25|11|297|27
Azathioprine 100 MG Oral Tablet|90|28|7|180|30|19014907|359228|95|23|12|198|27
Azathioprine 75 MG Oral Tablet|90|14|8|180|14|19014908|359229|95|9|13|198|12.6
deflazacort 6 MG Oral Tablet|30|30|6|120|15|19016866|153098|35|25|11|132|13.5
febuxostat 40 MG Oral Tablet|90|14|7|90|14|19017744|834235|95|9|12|99|12.6
febuxostat 80 MG Oral Tablet|90|14|7|90|14|19017747|834241|95|9|12|99|12.6
deflazacort 30 MG Oral Tablet|30|28|5|45|15|19018083|153880|35|23|10|49.5|13.5
Acetazolamide 125 MG Oral Tablet|90|4|5|180|8|19018750|197303|95|-1|10|198|7.2
Acetazolamide 250 MG Oral Tablet|90|3|7|180|6|19018781|197304|95|-2|12|198|5.4
Acetic Acid 20 MG/ML Otic Solution|50|5|2|45|15|19018782|197305|55|0|7|49.5|13.5
acetohydroxamic acid 250 MG Oral Tablet|60|10|9|120|30|19018785|197308|65|5|14|132|27
Acyclovir 200 MG Oral Capsule|90|5|5|180|21|19018786|197310|95|0|10|198|18.9
Allopurinol 300 MG Oral Tablet|90|30|6|90|28|19018787|197320|95|25|11|99|25.2
Atenolol 25 MG Oral Tablet|100|30|6|180|21|19018811|197380|105|25|11|198|18.9
Betamethasone 0.0005 MG/MG Topical Ointment|30|7|3|240|15|19018817|197405|35|2|8|264|13.5
Betamethasone 1 MG/ML Topical Cream|30|7|3|90|15|19018819|197407|35|2|8|99|13.5
Betamethasone 1 MG/ML Topical Lotion|45|10|3|120|60|19018820|197408|50|5|8|132|54
Betamethasone 0.001 MG/MG Topical Ointment|30|7|3|90|15|19018841|197409|35|2|8|99|13.5
Chlorthalidone 50 MG Oral Tablet|90|30|6|90|15|19018850|197500|95|25|11|99|13.5
Chlorzoxazone 500 MG Oral Tablet|90|7|4|180|21|19018872|197502|95|2|9|198|18.9
Cimetidine 200 MG Oral Tablet|90|5|6|180|10|19018873|197505|95|0|11|198|9
Cimetidine 300 MG Oral Tablet|90|1|6|180|1|19018874|197506|95|-4|11|198|0.9
Cimetidine 400 MG Oral Tablet|90|14|6|180|16|19018875|197507|95|9|11|198|14.4
Cimetidine 800 MG Oral Tablet|90|29|6|180|30|19018876|197508|95|24|11|198|27
clocortolone 1 MG/ML Topical Cream|45|10|2|90|45|19018879|197520|50|5|7|99|40.5
Dexamethasone 1.5 MG Oral Tablet|30|2|1|60|6|19018906|197580|35|-3|6|66|5.4
Diazepam 2 MG Oral Tablet|45|3|3|120|5|19018909|197590|50|-2|8|132|4.5
Diflunisal 500 MG Oral Tablet|90|5|5|180|12|19018934|197603|95|0|10|198|10.8
Digoxin 0.125 MG Oral Tablet|90|14|9|90|9|19018935|197604|95|9|14|99|8.1
Digoxin 0.25 MG Oral Tablet|90|14|8|90|14|19018937|197606|95|9|13|99|12.6
Erythromycin 500 MG Oral Tablet|30|1|1|60|3|19018976|197650|35|-4|6|66|2.7
Estrogens, Conjugated (USP) 0.3 MG Oral Tablet|90|22|8|90|14|19018977|197660|95|17|13|99|12.6
Fluconazole 200 MG Oral Tablet|84|1|3|60|1|19019003|197700|89|-4|8|66|0.9
Fluconazole 50 MG Oral Tablet|45|1|3|50|1|19019004|197701|50|-4|8|55|0.9
Flucytosine 250 MG Oral Capsule|30|3|9|280|20|19019005|197702|35|-2|14|308|18
Flucytosine 500 MG Oral Capsule|30|1|7|340|12|19019006|197703|35|-4|12|374|10.8
Fluoxymesterone 10 MG Oral Tablet|90|10|3|90|20|19019010|197710|95|5|8|99|18
Flurandrenolide 0.0005 MG/MG Topical Ointment|30|10|2|120|60|19019041|197720|35|5|7|132|54
Furosemide 10 MG/ML Oral Solution|60|7|9|240|30|19019042|197730|65|2|14|264|27
Halcinonide 0.001 MG/MG Topical Ointment|30|10|3|120|30|19019043|197750|35|5|8|132|27
Hydrochlorothiazide 50 MG Oral Tablet|90|30|5|90|30|19019044|197770|95|25|10|99|27
Ibuprofen 20 MG/ML Oral Suspension|30|2|8|1800|120|19019050|197803|35|-3|13|1980|108
Ibuprofen 400 MG Oral Tablet|34|4|5|120|15|19019072|197805|39|-1|10|132|13.5
Ibuprofen 600 MG Oral Tablet|60|5|3|120|15|19019073|197806|65|0|8|132|13.5
Ibuprofen 800 MG Oral Tablet|90|5|3|270|20|19019074|197807|95|0|8|297|18
Isosorbide Dinitrate 40 MG Oral Tablet|90|7|7|270|14|19019078|197840|95|2|12|297|12.6
Leucovorin 10 MG Oral Tablet|90|7|6|36|4|19019079|197860|95|2|11|39.6|3.6
Lithium Carbonate 300 MG Oral Tablet|90|14|7|180|15|19019111|197890|95|9|12|198|13.5
Lorazepam 0.5 MG Oral Tablet|34|5|4|93|10|19019112|197900|39|0|9|102.3|9
Lorazepam 1 MG Oral Tablet|90|5|3|120|10|19019113|197901|95|0|8|132|9
Lorazepam 2 MG Oral Tablet|90|5|3|120|8|19019114|197902|95|0|8|132|7.2
Lovastatin 10 MG Oral Tablet|90|30|6|90|30|19019115|197903|95|25|11|99|27
Lovastatin 20 MG Oral Tablet|90|30|6|90|30|19019116|197904|95|25|11|99|27
Lovastatin 40 MG Oral Tablet|90|30|6|180|30|19019117|197905|95|25|11|198|27
5 ML Lymphocyte immune globulin 50 MG/ML Injection|4|4|0|160|160|19019118|197906|9|-1|5|176|144
Methazolamide 50 MG Oral Tablet|90|10|7|180|20|19019155|197940|95|5|12|198|18
Hydrochlorothiazide 25 MG / Methyldopa 250 MG Oral Tablet|90|30|5|180|30|19019157|197960|95|25|10|198|27
Metyrosine 250 MG Oral Capsule|30|7|7|180|10|19019159|197980|35|2|12|198|9
Bendroflumethiazide 5 MG / Nadolol 40 MG Oral Tablet|90|30|6|90|30|19019231|198000|95|25|11|99|27
Bendroflumethiazide 5 MG / Nadolol 80 MG Oral Tablet|90|22|4|90|15|19019232|198001|95|17|9|99|13.5
Nadolol 20 MG Oral Tablet|90|28|6|135|15|19019236|198006|95|23|11|148.5|13.5
Nadolol 40 MG Oral Tablet|90|30|6|180|28|19019238|198007|95|25|11|198|25.2
Nadolol 80 MG Oral Tablet|90|30|6|180|28|19019239|198008|95|25|11|198|25.2
Naproxen 375 MG Oral Tablet|90|7|4|180|15|19019271|198012|95|2|9|198|13.5
Naproxen 250 MG Oral Tablet|90|5|5|180|14|19019272|198013|95|0|10|198|12.6
Naproxen 500 MG Oral Tablet|90|10|4|180|20|19019273|198014|95|5|9|198|18
Niacin 500 MG Oral Tablet|90|14|8|270|14|19019301|198024|95|9|13|297|12.6
Niacinamide 500 MG Oral Tablet|50|30|6|100|30|19019302|198025|55|25|11|110|27
24 HR Nicotine 0.583 MG/HR Transdermal System|34|14|3|31|14|19019306|198029|39|9|8|34.1|12.6
24 HR Nicotine 0.875 MG/HR Transdermal System|42|14|2|42|14|19019307|198030|47|9|7|46.2|12.6
24 HR Nicotine 0.292 MG/HR Transdermal System|30|14|5|30|14|19019308|198031|35|9|10|33|12.6
Nifedipine 10 MG Oral Capsule|90|7|6|270|15|19019309|198032|95|2|11|297|13.5
Nifedipine 20 MG Oral Capsule|90|7|5|270|21|19019310|198033|95|2|10|297|18.9
24 HR Nifedipine 30 MG Extended Release Oral Tablet|90|30|6|120|30|19019331|198034|95|25|11|132|27
24 HR Nifedipine 60 MG Extended Release Oral Tablet|90|30|6|180|30|19019332|198035|95|25|11|198|27
24 HR Nifedipine 90 MG Extended Release Oral Tablet|90|30|6|90|30|19019333|198036|95|25|11|99|27
Nimodipine 30 MG Oral Capsule|90|4|5|336|30|19019334|198037|95|-1|10|369.6|27
Nitroglycerin 0.3 MG Sublingual Tablet|90|14|2|100|100|19019335|198038|95|9|7|110|90
Nitroglycerin 0.4 MG Sublingual Tablet|50|5|3|100|25|19019336|198039|55|0|8|110|22.5
Nitroglycerin 0.6 MG Sublingual Tablet|90|15|3|100|100|19019337|198040|95|10|8|110|90
Nizatidine 300 MG Oral Capsule|90|30|5|180|30|19019338|198041|95|25|10|198|27
Nortriptyline 10 MG Oral Capsule|100|28|5|270|30|19019412|198045|105|23|10|297|27
Nortriptyline 50 MG Oral Capsule|100|30|5|180|30|19019413|198046|105|25|10|198|27
Nortriptyline 75 MG Oral Capsule|90|30|5|180|30|19019414|198047|95|25|10|198|27
Ofloxacin 300 MG Oral Tablet|30|7|0|42|6|19019416|198049|35|2|5|46.2|5.4
Ofloxacin 400 MG Oral Tablet|90|5|3|30|1|19019417|198050|95|0|8|33|0.9
Omeprazole 20 MG Delayed Release Oral Capsule|90|28|7|180|28|19019418|198051|95|23|12|198|25.2
Ondansetron 4 MG Oral Tablet|30|3|4|90|9|19019419|198052|35|-2|9|99|8.1
Oxandrolone 2.5 MG Oral Tablet|30|7|4|180|20|19019482|198056|35|2|9|198|18
Oxazepam 10 MG Oral Capsule|90|10|4|150|20|19019483|198057|95|5|9|165|18
Oxazepam 30 MG Oral Capsule|90|15|4|150|28|19019485|198059|95|10|9|165|25.2
Penicillamine 250 MG Oral Capsule|90|14|8|200|28|19019524|198070|95|9|13|220|25.2
Penicillamine 250 MG Oral Tablet|90|25|7|270|16|19019525|198071|95|20|12|297|14.4
Perphenazine 16 MG Oral Tablet|31|10|6|120|16|19019528|198075|36|5|11|132|14.4
Perphenazine 2 MG Oral Tablet|90|11|6|180|15|19019529|198076|95|6|11|198|13.5
Perphenazine 4 MG Oral Tablet|90|10|5|180|21|19019530|198077|95|5|10|198|18.9
Perphenazine 8 MG Oral Tablet|60|14|5|180|21|19019581|198078|65|9|10|198|18.9
Phenobarbital 100 MG Oral Tablet|90|28|4|135|28|19019586|198083|95|23|9|148.5|25.2
Phenobarbital 16.2 MG Oral Tablet|90|10|5|270|20|19019589|198086|95|5|10|297|18
Phenobarbital 60 MG Oral Tablet|90|15|5|180|30|19019590|198089|95|10|10|198|27
